"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants"
"predicate_1",NA,NA,NA,NA,-0.744597070151591,-0.855805704547591,-0.721018062481925,-0.715977350776576,-0.611511225642876,-0.856874975775192,0.00188567810532442,0.128959774497811,0.0989301535557895,0.0455299754311459,1,200
"workerid",NA,NA,NA,NA,0.0767324232164839,-0.594734019355078,-0.429257573449347,-0.208466775394662,-0.715937922873188,-0.831338757537109,0.351440996896662,0.349385835558471,0.0166663132015146,0.293951437197772,1,200
NA,0.139161781774321,-0.0275550954106236,-0.0512328992488982,-0.0818112583201319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,200
"predicate_1",NA,NA,NA,NA,-0.103723807072776,-0.884220506974898,-0.848880228661201,-0.83095230610258,-0.771510481549715,-0.658057751613609,0.0762876004485609,0.160969706857362,0.0323969904003323,0.00361658005802171,2,200
"workerid",NA,NA,NA,NA,0.320511738785189,-0.534217070623295,-0.329462695139879,-0.460941399232734,-0.618795579360668,-0.863252608826152,0.266198254381062,0.22857776370754,0.00531992032080243,0.317118086508152,2,200
NA,0.13591937599579,0.136396839854656,0.0947669541743638,-0.0227950283645186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,200
"predicate_1",NA,NA,NA,NA,-0.302158932811841,-0.951457518646011,-0.45009546300562,-0.835642752110082,-0.509418624234017,-0.839563385022542,0.0703781674758268,0.0684627519034351,0.00587306469089889,0.0504356748574049,3,200
"workerid",NA,NA,NA,NA,-0.0845870641359392,-0.260313757125905,-0.672895998489287,-0.117477734289605,-0.196474476185369,-0.661794756486028,0.270465477828151,0.439143526649521,0.0308867747781166,0.264813603443286,3,200
NA,0.124016558396418,0.10757287569447,0.0153136646822797,-0.0239947602961964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,200
"predicate_1",NA,NA,NA,NA,-0.609664852129705,-0.793975901581285,-0.560278470537139,-0.783109509781519,-0.924142439243429,-0.750185044550282,0.105451474406195,0.0339225081654426,0.0022746618721036,0.157833039812902,4,200
"workerid",NA,NA,NA,NA,0.152754933040805,-0.804113157041873,-0.504203544609039,-0.779056575354708,-0.766580505845728,-0.715077518165194,0.335934446094832,0.218162508144691,0.00379271353095672,0.479475972772904,4,200
NA,0.125372047279898,0.161652019135309,0.0490589253388847,-0.128922276831507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,200
"predicate_1",NA,NA,NA,NA,-0.432602313779645,-0.885634211682906,-0.806014321309165,-0.221903058077491,-0.889468082469232,-0.856526318703175,0.130918612045639,0.11533391627065,0.176144152127106,0.00399716962052365,5,200
"workerid",NA,NA,NA,NA,0.171514507489354,-0.232050821301721,-0.6646013322134,-0.111700700134551,-0.513605926242528,-0.760254646751233,0.258420102689059,0.279218274110218,0.019054050504837,0.364637795831981,5,200
NA,0.176702430669388,-0.0313966274694612,-0.145483706534111,-0.00350360293522562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,200
"predicate_1",NA,NA,NA,NA,-0.219100641739456,-0.693926074549908,-0.556372593069588,-0.584707701193989,-0.695681067364659,-0.809282895907347,0.0744899118564352,0.0652613788561705,0.00369330486532271,0.00879389773238143,6,200
"workerid",NA,NA,NA,NA,0.0580837199857076,-0.325103147299437,-0.62608201528487,-0.645944499093022,-0.779992607470145,-0.78796985186743,0.329829554987215,0.101102160123758,0.0705380073302439,0.501410172365771,6,200
NA,0.173407776879843,0.0323708136078782,0.109705958410784,-0.0690337979191517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,200
"predicate_1",NA,NA,NA,NA,-0.564218601318752,-0.799994585947104,-0.746299260717226,-0.819736409728028,-0.626120169418646,-0.868437356078336,0.0837382777852002,0.0276633744375121,0.00240409763208628,0.0367776189934012,7,200
"workerid",NA,NA,NA,NA,0.0890411123006382,-0.472079589931069,-0.305469739283921,0.181862360046855,-0.690035338231134,-0.78411181196288,0.196203522749898,0.3135347891152,0.0510902604699152,0.401416519879432,7,200
NA,0.155097446138345,0.199402283713243,-0.0718288638513716,-0.0772429854863895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,200
"predicate_1",NA,NA,NA,NA,-0.186451416293785,-0.751991566708991,-0.727185125200961,-0.743203199197923,-0.707677791884638,-0.805046415291937,0.0275289547551785,0.164894252398272,0.0178780852242238,0.00986554828463833,8,200
"workerid",NA,NA,NA,NA,0.157388276912147,-0.133340428234816,-0.284144440767179,-0.270510581877439,-0.772154725705994,-0.522818098849323,0.280030903628801,0.153309499845405,0.0212586358507207,0.323156533288542,8,200
NA,0.143413444058587,0.124852051186077,0.00285988585967096,-0.0732383779403126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,200
"predicate_1",NA,NA,NA,NA,-0.411631476128142,-0.77792722649674,-0.656525341273291,-0.433539564941535,-0.223809398224588,-0.590825568058492,0.0101255912445697,0.197547086514464,0.00640612160648977,0.222711926082355,701,200
"workerid",NA,NA,NA,NA,0.115825498416923,-0.810995533958186,-0.673589848434339,-0.798595617817062,-0.704429270089939,-0.563665394948948,0.306174865110339,0.195712482320869,0.00471180693251051,0.223086651565746,701,200
NA,0.150959751963572,-0.0679892841315429,-0.0228587477266205,-0.14118713324786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,200
"predicate_1",NA,NA,NA,NA,-0.522887872032924,-0.884013404241047,-0.855034622844051,-0.872890366736582,-0.855127601088436,-0.723561530335368,0.0102336097349408,0.069755700273362,0.00260896031556695,0.0542401761569613,9,200
"workerid",NA,NA,NA,NA,0.265681125333829,-0.386758902223119,-0.51361410764394,-0.595857812716697,-0.735469973958482,-0.325600478913365,0.326670407707807,0.147072643798999,0.0138026815560391,0.550201524319383,9,200
NA,0.142741826876661,0.0926090828020562,0.150981490121511,-0.0411822076740598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,200
"predicate_1",NA,NA,NA,NA,-0.643914427741486,-0.783070999621194,-0.74298077347852,-0.793369057758474,-0.832632675181958,-0.839039162944463,0.0196422199233439,0.0229383919898804,0.00217024980697779,0.207917108767151,702,200
"workerid",NA,NA,NA,NA,0.0251204068242341,-0.604735096325556,-0.408381709193453,-0.684187448914777,-0.427587547765311,-0.807241214138312,0.256549306113168,0.266806221341448,0.00292137589728534,0.325659902780023,702,200
NA,0.229016887016528,0.0711477086958588,-0.0368501484265905,-0.208971040797625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,200
"predicate_1",NA,NA,NA,NA,-0.843344013752961,-0.869152080255697,-0.797749032058516,-0.875714251919897,-0.864046346361988,-0.596042059108587,0.00112618198956516,0.0485597247337562,0.00571551977771554,0.0843390586343561,10,200
"workerid",NA,NA,NA,NA,0.0140734785066261,-0.305534193237388,-0.475678838008752,-0.588490578298907,-0.551475814822826,-0.706463364261585,0.276664559230597,0.279209289962431,0.0136200660214004,0.417582221005834,10,200
