"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.170869202602147,-0.849900727024796,-0.877055902972712,-0.631364823406044,-0.86984843442484,-0.757329748906595,0.065986461196035,0.143802619711607,0.00803304434073546,0.0459073486226085,1,250,12
"workerid",NA,NA,NA,NA,0.167317254675194,-0.421534546383551,-0.398956867140541,0.00997881406501225,-0.515785424379787,-0.771059591663355,0.259108933446925,0.269186805814124,0.0259998035554224,0.41993268496589,1,250,12
NA,0.10900424419257,0.254506885562739,0.143822309215306,-0.0456099022317774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,250,12
"predicate_1",NA,NA,NA,NA,-0.447974091138486,-0.676219049792381,-0.629616576000697,0.118424061324282,-0.611357359995795,-0.820390509683201,0.00810942761401275,0.250821699575892,0.103727946069556,0.117591777957296,2,250,12
"workerid",NA,NA,NA,NA,0.3979086630957,-0.584506035099402,-0.533932180165937,-0.57860202034254,-0.58602950332805,-0.893383647920708,0.41091973859365,0.295599686902981,0.00423557207656092,0.446221881816272,2,250,12
NA,0.272364135979483,-0.081860720786417,-0.0729312371825274,-0.0462890577771969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,250,12
"predicate_1",NA,NA,NA,NA,-0.807697452341878,-0.633629977042898,-0.649492749085856,-0.700268197968271,-0.656415334864559,-0.812808910829564,0.00313112189213587,0.0734277995755018,0.0623582323732351,0.176678836073413,3,250,12
"workerid",NA,NA,NA,NA,0.529755957743198,-0.523108359839488,-0.494677137916115,-0.469809123174902,-0.305781137281848,-0.777309056009641,0.288270019019714,0.264987430257117,0.00482962615645089,0.36911081514812,3,250,12
NA,0.0727643766020043,0.213990094513019,0.133050550178493,0.308449141667183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,250,12
"predicate_1",NA,NA,NA,NA,-0.256864272215316,-0.853107609607417,-0.645196409264857,-0.891882636044595,-0.266171154139351,-0.909368080940006,0.0245297207138996,0.0883872003475135,0.0540693759646287,0.116505999525969,21,250,12
"workerid",NA,NA,NA,NA,0.210310720672079,-0.643447470930175,-0.581396237452648,-0.652354153984163,-0.970565335917064,-0.788269813903038,0.392202687895163,0.21438577855586,0.00318281636610451,0.430943034277278,21,250,12
NA,0.0700151569805265,0.216602626635997,-0.0274239257692721,-0.00848791840334084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,250,12
"predicate_1",NA,NA,NA,NA,-0.438523461375136,-0.831769743266532,-0.648665820370564,-0.825913482726348,-0.795478310403799,-0.860142396202492,0.109993447420581,0.0118388779455236,0.0102235267548013,0.128751278062322,4,250,12
"workerid",NA,NA,NA,NA,-0.423992092821956,-0.853883107416609,-0.672658688899526,-0.712101080844252,-0.488315774542118,-0.616343300851445,0.414526165789474,0.0538753823914253,0.00428891760340147,0.416822941726877,4,250,12
NA,0.138800951846573,0.208224729343156,-0.121154597164719,0.0518052468238223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,250,12
"predicate_1",NA,NA,NA,NA,-0.652605054435607,-0.839077359986713,-0.740775802308483,-0.619165399471755,-0.652568421802636,-0.817277237145208,0.00739938276562277,0.21762959982755,0.00367717265274258,0.00536228693283031,22,250,12
"workerid",NA,NA,NA,NA,0.461358304067138,-0.343566501261276,-0.565269230087882,-0.224585407866065,-0.369804633122537,-0.508898452647944,0.422965716865264,0.252013317765933,0.0150123401494577,0.509413711489178,22,250,12
NA,0.182737402641235,0.180646989857514,-0.00143512415638363,0.0413896230188671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,250,12
