"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.224128858455257,-0.801188069154245,-0.704710168856532,-0.738239883156643,-0.251067217605491,-0.817892792526711,0.0583825167492776,0.0700157925521408,0.00218470227089798,0.147446091742166,41,350,15
"workerid",NA,NA,NA,NA,0.310586346695421,-0.772055028082314,-0.403248002270612,-0.72542032733509,-0.346574087875756,-0.85839269251104,0.346342926932585,0.16657241983891,0.00334185463318921,0.509667689024283,41,350,15
NA,0.0998969142148875,0.181060659005193,0.255860704134001,0.00876139796805435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,350,15
"predicate_1",NA,NA,NA,NA,-0.0675344612295104,-0.809817084106009,-0.564205703591896,-0.750569211944908,-0.0556399714906904,-0.862346480136889,0.0723936472405673,0.168953501406844,0.00233132089592069,0.122728982838114,81,350,15
"workerid",NA,NA,NA,NA,0.429230086451544,-0.801470221639705,-0.408560584304703,-0.772644990599532,-0.847148343409608,-0.797777018189966,0.34160964524548,0.360920843500296,0.00248132481330817,0.178233272839457,81,350,15
NA,0.302580073162072,0.10087922254087,-0.0660021264914467,-0.190678381156812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,350,15
"predicate_1",NA,NA,NA,NA,-0.687233861095482,-0.903765111658561,-0.346638668796691,-0.759434383820602,-0.588487256540699,-0.744196667819688,0.143566981973404,0.00347305955768625,0.00209564020211891,0.180824192401958,121,350,15
"workerid",NA,NA,NA,NA,0.243118166335651,-0.367876658841591,-0.394775998461373,-0.435911751249523,-0.71205291309802,-0.622486626123711,0.300641792765564,0.302628901440174,0.00665540000107523,0.387145848777361,121,350,15
NA,0.147829881944291,0.209457706124077,0.0269187259733745,0.0524951768064483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,350,15
"predicate_1",NA,NA,NA,NA,-0.394707311557514,-0.663650123111794,-0.782129930797832,-0.718366143052987,-0.802713862984507,-0.792170802423869,0.0927063918032598,0.0120952564561214,0.00269854018058377,0.126552530926156,82,350,15
"workerid",NA,NA,NA,NA,0.018880590046254,-0.776035135132955,-0.396552106735179,-0.754356415860195,-0.789159474940132,-0.755888205599391,0.422805501588639,0.229129065800051,0.00199793424060513,0.487768175018602,82,350,15
NA,0.215170868932042,0.0838292574617021,0.0834634236313887,0.0570720016777378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,350,15
"predicate_1",NA,NA,NA,NA,-0.480562068789033,-0.93838597328094,-0.431007373201113,-0.838320813157216,0.0564362990919122,-0.881126494458721,0.00844189682836136,0.10462005646219,0.00584556490658044,0.111317768859029,42,350,15
"workerid",NA,NA,NA,NA,0.197285722760919,-0.75532148695879,-0.580668033300595,-0.787842408112658,-0.774655867604695,-0.789500354989512,0.301966360278432,0.260837267527324,0.0025889813529038,0.369016974515749,42,350,15
NA,0.290812678563078,0.138290577781687,-0.136016126848915,-0.102655663833686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,350,15
"predicate_1",NA,NA,NA,NA,-0.182874869191159,-0.782585631839002,-0.833452353885166,-0.706101777573976,-0.8593371302221,-0.820767037200658,0.114459850610565,0.115454376366847,0.00169066717668916,0.222723461269229,83,350,15
"workerid",NA,NA,NA,NA,0.321983075799091,-0.562168742211969,-0.434635170382766,-0.521579247581925,-0.523519272680463,-0.573557526571249,0.27278327124933,0.255192882557264,0.00560755246850861,0.410490109382118,83,350,15
NA,0.190059153966342,0.207287415139587,0.00404121215149265,-0.207369657871237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,350,15
"predicate_1",NA,NA,NA,NA,-0.749510988776308,-0.713477361296084,-0.831813047948724,-0.756080441373882,-0.799077439147681,-0.809494293164457,0.0922569098731752,0.00213156533960298,0.0204311847288032,0.00208216203495665,43,350,15
"workerid",NA,NA,NA,NA,0.391431211142313,-0.232191009394508,-0.627804467374775,0.0207918435883901,-0.383927497562337,-0.0814757726534805,0.284754061324404,0.295733934441554,0.0628379449790142,0.530277166902741,43,350,15
NA,0.154646772009329,0.207785861880943,0.118550657807056,0.178000894292248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,350,15
