"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.767351370941075,-0.820246690886725,-0.841266751198513,-0.388002530227765,-0.567951710920732,-0.7801356157922,0.00143759595544259,0.0867488159504622,0.0180665951807276,0.0130486640326714,51961,250,18
"workerid",NA,NA,NA,NA,0.47732032411438,-0.799071546937532,-0.540217457234887,-0.780203756133494,-0.764136051829106,-0.676295511198737,0.341401651639848,0.287301929981601,0.0150472594238134,0.442288319195826,51961,250,18
NA,0.214209853838334,0.241486169294542,-0.0485845596527515,-0.0557042224018426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51961,250,18
"predicate_1",NA,NA,NA,NA,-0.768975787176628,-0.529382121905088,-0.80766586375694,-0.594126687044079,-0.696069231389662,-0.870361845277833,0.126635526450032,0.00636469176565855,0.0324429456795834,0.00827192078579207,51962,250,18
"workerid",NA,NA,NA,NA,0.14998914137885,-0.738021997777217,-0.701319347940165,-0.637240830174894,-0.481116498651009,-0.307161107905181,0.288685041817431,0.222238641383751,0.00717879576144345,0.50242869443577,51962,250,18
NA,0.137688633999564,0.127286715814734,0.0857544133043992,0.0451333489172802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51962,250,18
"predicate_1",NA,NA,NA,NA,-0.640989184508145,-0.905435719452352,-0.62614001312906,-0.866239092230931,-0.427268153490932,-0.894224866753208,0.00307097019496821,0.0360014101187659,0.00399163279201964,0.184425306663434,51963,250,18
"workerid",NA,NA,NA,NA,-0.118360176141794,-0.0866835347355375,-0.41281270866414,0.347543889718125,-0.63894897805217,-0.786650213796833,0.33665619354277,0.438474241213007,0.174508077286112,0.237389947722412,51963,250,18
NA,0.264816710720552,0.0298954972476365,-0.0897539156047499,-0.184264076022932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51963,250,18
"predicate_1",NA,NA,NA,NA,-0.780675272407027,-0.848663362027826,-0.837875966089966,-0.562045661130267,-0.741619557461135,-0.920604630599838,0.00149054663737129,0.056953667816978,0.0998167777205084,0.114885034697723,51964,250,18
"workerid",NA,NA,NA,NA,0.488035816905927,-0.265411383347265,-0.631187187652643,-0.182823396083832,-0.549234336378378,-0.0354661725577611,0.325518821134486,0.198931381246236,0.0748812905582798,0.361423031605945,51964,250,18
NA,0.204327490925594,0.218341634730402,-0.0989112547282155,-0.0232906540356937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51964,250,18
"predicate_1",NA,NA,NA,NA,-0.362720828680512,-0.815833522040124,-0.62049841923946,-0.86943604849491,-0.552159360729551,-0.594912466497724,0.0572935576440544,0.0387100653631187,0.119668386135021,0.053918018372056,51965,250,18
"workerid",NA,NA,NA,NA,0.147534523473099,-0.757685815446992,-0.317394085530467,-0.765973785938631,-0.279335243592926,-0.843764837084789,0.241140213996482,0.278977297982367,0.00270086489307458,0.48124272422858,51965,250,18
